0	55,57
1	16,20
2	58,65
3	59,64
4	24,42
5	25,41
6	27,68
7	11,51
8	23,25
9	0,5
10	17,21
11	34,37
12	11,69
13	11,14
14	2,11
15	48,63
16	11,23
17	68,75
18	24,26
19	27,43
20	41,42
21	16,22
22	18,19
23	55,59
24	73,74
25	59,66
26	61,63
27	11,44
28	20,22
29	27,70
30	70,75
31	29,34
32	23,27
33	0,7
34	17,23
35	57,59
36	11,71
37	49,55
38	48,65
39	47,48
40	55,61
41	25,27
42	18,21
43	35,37
44	11,37
45	62,76
46	27,72
47	11,55
48	29,36
49	11,64
50	23,29
51	0,9
52	57,61
53	48,58
54	26,55
55	68,70
56	27,29
57	25,75
58	16,17
59	64,66
60	55,63
61	16,26
62	18,23
63	59,61
64	11,48
65	60,62
66	22,23
67	0,2
68	29,38
69	23,31
70	49,50
71	57,63
72	24,69
73	25,68
74	27,31
75	55,56
76	16,19
77	11,32
78	55,65
79	59,63
80	27,58
81	25,40
82	51,52
83	46,47
84	60,64
85	23,24
86	58,76
87	11,68
88	41,69
89	57,65
90	19,20
91	25,70
92	27,33
93	62,64
94	24,25
95	11,25
96	55,58
97	16,21
98	48,74
99	11,34
100	11,43
101	25,42
102	58,60
103	20,21
104	51,54
105	60,66
106	61,65
107	26,43
108	41,62
109	57,58
110	41,71
111	49,54
112	19,22
113	36,38
114	39,55
115	30,31
116	62,66
117	11,27
118	25,26
119	16,23
120	48,76
121	63,65
122	11,36
123	26,27
124	58,62
125	20,23
126	21,22
127	41,55
128	29,35
129	69,71
130	26,54
131	49,56
132	17,18
133	27,28
134	0,11
135	48,60
136	65,76
137	54,55
138	48,69
139	64,65
140	11,29
141	28,45
142	11,38
143	63,76
144	58,64
145	60,61
146	24,41
147	41,57
148	29,37
149	24,50
150	23,30
151	41,75
152	0,4
153	16,55
154	17,20
155	24,68
156	34,36
157	11,13
158	48,62
159	48,71
160	11,31
161	11,49
162	3,11
163	58,66
164	59,65
165	60,63
166	12,23
167	61,62
168	69,75
169	27,69
170	26,49
171	41,68
172	0,6
173	2,3
174	17,22
175	11,70
176	24,70
177	11,15
178	25,69
179	34,38
180	39,52
181	48,55
182	11,24
183	48,64
184	48,73
185	57,67
186	62,63
187	11,33
188	71,75
189	24,27
190	58,59
191	18,20
192	35,36
193	51,53
194	60,65
195	61,64
196	27,71
197	26,51
198	41,70
199	0,8
200	19,21
201	11,72
202	25,71
203	36,37
204	48,57
205	48,66
206	62,65
207	68,69
208	11,26
209	63,64
210	48,75
211	26,72
212	11,35
213	55,62
214	58,61
215	18,22
216	35,38
217	51,55
218	58,70
219	59,60
220	69,70
221	61,66
222	25,55
223	0,1
224	10,11
225	65,66
226	57,62
227	19,23
228	48,59
229	37,38
230	68,71
231	48,68
232	11,28
233	28,44
234	63,66
235	16,18
236	27,48
237	55,64
238	58,63
239	59,62
240	21,23
241	64,76
242	25,39
243	70,71
244	25,48
245	11,58
246	0,3
247	17,19
248	34,35
249	49,51
250	11,12
251	57,64
252	48,61
253	66,76
